idtyp,idsubj,sequencePC,period,belief,contribution,subject,idsess,group,otherscontrib,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,u,predictedcontribution,half
1,101,1,1,18,18,1,1,1,11,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,1
3,113,1,1,12,13,13,1,1,12,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,10,1
3,117,1,1,12,14,17,1,1,12,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,4,1
1,114,1,1,8,5,14,1,1,15,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,6,1
1,116,1,2,5,4,16,1,1,13,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,1,1
1,108,1,2,10,10,8,1,1,11,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,12,1
2,120,1,2,8,20,20,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
3,105,1,2,11,10,5,1,1,11,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,4,1
1,108,1,3,11,6,8,1,1,12,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,13,1
2,120,1,3,9,10,20,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
3,117,1,3,11,12,17,1,1,10,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,3,1
3,113,1,3,13,13,13,1,1,9,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,11,1
1,110,1,4,10,10,10,1,1,8,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,10,1
1,109,1,4,7,5,9,1,1,10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,7,1
1,118,1,4,3,20,18,1,1,5,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,0,1
2,123,1,4,6,0,23,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
1,101,1,5,17,20,1,1,1,8,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,1
3,117,1,5,12,2,17,1,1,14,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,4,1
2,120,1,5,10,12,20,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
2,123,1,5,9,10,23,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
1,110,1,6,5,5,10,1,1,2,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,2
1,122,1,6,6,6,22,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,6,2
2,104,1,6,7,0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,107,1,6,11,0,7,1,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
3,119,1,7,6,0,19,1,1,0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,2,2
2,102,1,7,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,112,1,7,4,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,105,1,7,7,1,5,1,1,0,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,3,2
3,105,1,8,5,0,5,1,1,2,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,2,2
1,114,1,8,7,5,14,1,1,1,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,5,2
3,113,1,8,3,2,13,1,1,2,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,1,2
2,112,1,8,2,0,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,120,1,9,0,0,20,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
2,112,1,9,2,0,12,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,103,1,9,1,0,3,1,1,3,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,2,2
1,108,1,9,6,8,8,1,1,0,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,5,2
1,106,1,10,0,0,6,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
1,124,1,10,2,0,24,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,0,2
2,112,1,10,2,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
